おどろく（2個）,①（はっと）気づく　②（ふと）目を覚ます
かたはらいたし（4個）,①見苦しい・苦々しい　②気の毒だ・心苦しい　③恥ずかしい・きまりが悪い　④ばかばかしい・笑止千万だ
こころもとなし（3個）,①待ち遠しい・じれったい　②不安だ・心配だ　③はっきりしない・ぼんやりしている
いとほし（2個）,①かわいそうだ・気の毒だ　②かわいい・いとしい
あさまし（3個）,①驚きあきれるほどだ　②あきれるほどひどい　③情けない・嘆かわしい
いたし（3個）,①〔連用形「いたく」「いたう」の形で〕たいそう・とても　②〔打消を伴って〕それほど（～ない）　③すばらしい
つれなし（3個）,①平然としている・そ知らぬふりをしている　②冷淡だ・薄情だ　③何の変化もない・もとのままだ
あいなし（3個）,①筋違いだ・具合が悪い　②つまらない・おもしろくない　③〔連用形「あいなく」「あいなう」の形で〕むやみに・わけもなく
あぢきなし（2個）,①どうにもならない・無益だ　②つまらない・苦々しい
さがなし（2個）,①性質がよくない・意地が悪い　②いたずらだ
すさまじ（2個）,①興ざめだ　②殺風景だ・荒涼としている
いふかいなし（3個）,①どうしようもない・言ってもしかたがない　②取るに足りない・たわいない　③ひどい・ふがいない
よしなし（3個）,①関係がない・いわれがない・理由がない　②方法がない・しかたがない　③つまらない・かいがない
びんなし（2個）,①都合が悪い・不都合だ　②困ったことだ・感心しない
さうざうし（1個）,①物足りない・心寂しい
むつかし（3個）,①うっとうしい・不快だ　②わずらわしい・面倒だ　③むさくるしい・見苦しい
あてなリ（2個）,①身分が高い・高貴だ　②上品だ・優美だ
きよらなり（1個）,①美しい・華麗だ
さらなり（2個）,①［「言へば」「言ふも」に続けて］（いまさら）言うまでもない・もちろんだ　②［「言へば」「言ふも」を省略して］（いまさら）言うまでもない・もちろんだ
あらはなり（2個）,①まる見えだ　②明らかだ
あからさまなり（1個）,①ちょっとの間だ・ちょっと
かたくななり（2個）,①情趣を解さない・教養がない　②見苦しい・みっともない
あだなり（2個）,①はかない・むなしい　②不誠実だ・浮気だ
すずろなり（3個）,①あてもない・わけもない　②思いがけない・無関係だ・つまらない　③〔「すずろに」の形で〕むやみだ
むげなり（2個）,①まったくひどい・最低だ　②〔「むげに」の形で〕むやみに・（下に打消を伴い）まったく（～ない）
おおやけ（2個）,①朝廷　②天皇
きは（2個）,①身分・分際　②程度
しるし（3個）,①ご利益・霊験　②効果・効き目　③前兆・兆候
ことわり（1個）,①道理
ためし（2個）,①例・先例・手本　②語り草・話の種
わざ（2個）,①仏事・法事　②こと・行い
おぼえ（2個）,①評判・人望　②寵愛（を受けること）
ここち（2個）,①気持ち・感じ　②病気・体調
うつつ（2個）,①現実　②正気
つとめて（2個）,①早朝　②翌朝
つごもり（1個）,①月末・月の下旬
ついで（2個）,①順序・順番　②機会・折
たより（4個）,①頼れるもの・よりどころ　②縁故・つて　③便宜・手段　④機会・ついで
こころざし（2個）,①愛情・誠意　②贈り物・謝礼
よし（5個）,①縁・由緒・わけ　②方法・手段　③風情・趣　④事情・旨・こと　⑤そぶり・ようす
よろづ（2個）,①さまざまなこと・あらゆること　②すべて・万事につけて
て（2個）,①筆跡・書・文字　②演奏法・曲
ざえ（1個）,①学問・学識・才能
おのづから（3個）,①自然に・ひとりでに　②偶然に・たまたま　③万一・ひょっとすると
すなはち（1個）,①すぐに・そのまま
とく（2個）,①早く・すぐに　②すでに・とっくに
いつしか（2個）,①早く（～したい・～してほしい）　②早くも
なべて（2個）,①総じて・おしなべて②普通・並
いとど（1個）,①いっそう・ますます
かく（1個）,①このように
とかく（1個）,①あれこれと・何やかやと
しか（1個）,①そう・そのように
さ（1個）,①そう・そのように
さばかり（2個）,①その程度・それほど　②非常に・たいそう
さながら（2個）,①そのまま・もとのまま　②全部・すべて
つゆ～打消（1個）,①少しも～ない・まったく～ない
よも～じ（1個）,①まさか～ないだろう・よもや～まい
なかなか（1個）,①かえって・むしろ
さすがに（1個）,①そうはいってもやはり
かつ（2個）,①一方では　②すぐに・次から次へと
など・などか（2個）,①どうして（～か）　②どうして（～か、いや、～ない）
なでふ・なんでふ（2個）,①どうして（～か）　②どうして（～か、いや、～ない）
ありし・ありつる（2個）,①〔「ありし」の形で〕かつての・以前の　②〔「ありつる」の形で〕さっきの・先ほどの
れいの（2個）,①〔用言を修飾して〕いつものように　②〔体言を修飾して〕いつもの
おとにきく（2個）,①うわさに聞く・人づてに聞く　②評判が高い・有名だ
いかがせむ・いかがはせむ（2個）,①どうしようか　②どうしようもない
さるべき（3個）,①適当な・ふさわしい　②そうなるはずの・そうなる運命の　③立派な・それ相応の
いざたまへ（1個）,①さあ、（一緒に）いらっしゃい・さあ、どうぞ
のたまふ・のたまはす（1個）,①おっしゃる
おほす（1個）,①おっしゃる
きこしめす（2個）,①お聞きになる　②召し上がる
ごらんず（1個）,①ご覧になる
まうす（2個）,①申し上げる　②（お）～申し上げる・お～する
きこゆ・きこえさす（2個）,①申しあげる・差し上げる　②（お）～申し上げる・お～する
おはす・おはします（3個）,①いらっしゃる　②いらっしゃる　③～ていらっしゃる
おぼす・おぼしめす（1個）,①お思いになる
たまふ［ハ行四段］（2個）,①お与えになる・くださる　②お～になる・～なさる・～てくださる
たまふ［ハ行下二段］（1個）,①～ております・～させていただく
たまはす（1個）,①お与えになる
たまはる（1個）,①いただく・頂戴する
うけたまはる（2個）,①お受けする・承諾し申し上げる　②お聞きする
たてまつる（3個）,①差し上げる　②（お）～申し上げる・お～する　③お召しになる・お乗りになる・召し上がる
はべり（3個）,①お仕えする・伺候する　②あります・おります・ございます　③～（ござい）ます・～です
さぶらふ（3個）,①お仕えする・伺候する　②あります・おります・ございます　③～（ござい）ます・～です
めす（4個）,①お呼び寄せになる・お取り寄せになる　②召し上がる　③お召しになる　④お乗りになる
まうづ（2個）,①参上する・うかがう　②参詣する・お参りする
まゐる（4個）,①参上する　②差し上げる　③し申し上げる・して差し上げる　④召し上がる
まゐらす（2個）,①差し上げる　②（お）～申し上げる・お～する
まかる（3個）,①退出する・おいとまする　②参ります・出かけます　③～申す・～ます
まかづ（2個）,①退出する・おいとまする　②出かけます・参ります
つかはす（3個）,①おやりになる・おつかわしになる　②お与えになる・お贈りになる　③贈る・行かせる・やる
あそばす（2個）,①演奏をなさる・お詠みになる　②～（を）なさる
つかうまつる（3個）,①お仕え申し上げる　②し申し上げる・いたす　③（お）～申し上げる・お～する
おほとのごもる（1個）,①おやすみになる
しろしめす（2個）,①ご存じである・知っていらっしゃる　②お治めになる・領有なさる
行幸（ぎょうこう）・行啓（ぎょうけい）・御幸（ごこう）,［行幸］天皇のお出かけ　［行啓］皇后・皇太子などのお出かけ　［御幸］上皇・法皇・女院のお出かけ
そうす（1個）,①(天皇・上皇に)申し上げる・奏上する
けいす（1個）,①(皇后・皇太子に)申し上げる
ここから第４章　　しる（1個）,①領有する・（国を）治める
あくがる（3個）,①さまよい出る　②(魂が)宙にさまよう　③(心が)うわの空になる
やすらふ（2個）,①立ち止まる・とどまる　②ためらう・躊躇する
うちいづ（1個）,①口に出して言う
やつす（1個）,①地味な格好にする・目立たない様子をする
おとなふ（2個）,①音を立てる・声を立てる　②手紙を出す・訪れる
そばむ（1個）,①横を向く
かたらふ（1個）,①交際する・親しくする
